	tetragrama	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
271	ahua	Cahuecahua,	Ge'u̱ ya gabida ra Piltecuhtli, ra Acxoxécatl, ra Tecpanécatl, ra Cahuecahua, ra Cocomitecuhtli, ra Quauhtotohua, ra Textlipitl,	ge'u̱ ya gabida ra piltetsujtli, ra atsxoxétsatl, ra tetspanétsatl, ra tsajuetsajua, ra tsotsomitetsujtli, ra quaujtotojua, ra textlipitl,	ge'u̱ ya gabida ra piltetsuhtli, ra atsxoxétsatl, ra tetspanétsatl, ra tsahuetsahua, ra tsotsomitetsuhtli, ra quauhtotohua, ra textlipitl,	ge'u̱ ya gabida ra piltetsuhtli, ra atsxoxétsatl, ra tetspanétsatl, ra tsahuetsahua, ra tsotsomitetsuhtli, ra quauhtotohua, ra textlipitl,	geʔɨ ya gabida ra piltecuhtli, ra acšošécatl, ra tecpanécatl, ra cahuecahua, ra cocomitecuhtli, ra quauhtotohua, ra teštlipitl,	geʔɨ ja gabida ra piltet͡suhtli, ra at͡sʃoʃét͡satl, ra tet͡spanét͡satl, ra t͡sahuet͡sahua, ra t͡sot͡somitet͡suhtli, ra quauhtotohua, ra teʃtlipitl,
272	ahua	mahuai	ha ra ndäte bri r'ambabi n'a ra nzu̱ni ko ra mahuai ha ya yoho ya hyo bi r'ani ra nzu̱ni bi gohi nubu̱  bi du.	ja ra ndäte bri r'ambabi n'a ra nzu̱ni ko ra majuai ja ya yojo ya jyo bi r'ani ra nzu̱ni bi goji nubu̱ bi du.	ha ra ndäte bri r'ambabi n'a ra nzu̱ni ko ra mahuai ha ya yoho ya hyo bi r'ani ra nzu̱ni bi gohi nubu̱ bi du.	ha ra ndäte bri r'ambabi n'a ra nzu̱ni ko ra mahuai ha ya yoho ya hyo bi r'ani ra nzu̱ni bi gohi nubu̱ bi du.	ha ra ndᶏte bri rʔambabi nʔa ra nzɨni ko ra mahuai ha ya yoho ya hyo bi rʔani ra nzɨni bi gohi nubɨ bi du.	ha ra ndãte bɾi rʔambabi nʔa ra nzɨni ko ra mahuai ha ja joho ja hjo bi rʔani ra nzɨni bi gohi nubɨ bi du.
273	otla	Tzapotlan:	“Ra Tzapotlan: Mi r'ani ha nuna t'u̱ka hnini ge nehe mra thuhu njabu̱.	"""ra tzapotlan: mi r'ani ja nuna t'u̱ka jnini ge neje mra tjuju njabu̱."	"""ra tzapotlan: mi r'ani ha nuna t'u̱ka hnini ge nehe mra thuhu njabu̱."	"""ra tzapotlan: mi r'ani ha nuna t'u̱ka hnini ge nehe mra thuhu njabu̱."	"""ra tzapotlan: mi rʔani ha nuna tʔɨka hnini ge nehe mra thuhu nkhabɨ."	"""ɾa tzapotlan: mi rʔani ha nuna tʔɨka hnini ge nehe mɾa thuhu nkhabɨ."
274	otla	Tepotzotlan.	Di ngepu̱ bi ma pa Tepotzotlan.	di ngepu̱ bi ma pa tepotzotlan.	di ngepu̱ bi ma pa tepotzotlan.	di ngepu̱ bi ma pa tepotzotlan.	di ngepɨ bi ma pa tepotzotlan.	di ngepɨ bi ma pa tepotzotlan.
275	otla	Xoxocotla,	Di gepu̠ nehe bi t'e̠nts'i ma ha ra Tlilyucan ebu̠ ra Xócotl Iyohuican, ge'a nget'a ra thuhu ra Xoxocotla, ha ri ngepu bri thoka ra mabagi ra Chimalpopoca nuna mra t'u̠ ra Ts'e̱y'e̱hmu.	di gepu̱ neje bi t'e̱nts'i ma ja ra tlilyutsan ebu̱ ra xótsotl iyojuitsan, ge'a nget'a ra tjuju ra xoxotsotla, ja ri ngepu bri tjoka ra mabagi ra chimalpopotsa nuna mra t'u̱ ra ts'e̱y'e̱jmu.	di gepu̱ nehe bi t'e̱nts'i ma ha ra tlilyutsan ebu̱ ra xótsotl iyohuitsan, ge'a nget'a ra thuhu ra xoxotsotla, ha ri ngepu bri thoka ra mabagi ra chimalpopotsa nuna mra t'u̱ ra ts'e̱y'e̱hmu.	di gepu̱ nehe bi t'e̱nts'i ma ha ra tlilyutsan ebu̱ ra xótsotl iyohuitsan, ge'a nget'a ra thuhu ra xoxotsotla, ha ri ngepu bri thoka ra mabagi ra tximalpopotsa nuna mra t'u̱ ra ts'e̱y'e̱hmu.	di gepɨ nehe bi tʔɛncʔi ma ha ra tlilyucan ebɨ ra šócotl iyohuican, geʔa ngetʔa ra thuhu ra šošocotla, ha ri ngepu bri thoka ra mabagi ra čimalpopoca nuna mra tʔɨ ra cʔɛyʔɛhmu.	di gepɨ nehe bi tʔɛnt͡sʔi ma ha ra tliljut͡san ebɨ ra ʃót͡sotl ijohuit͡san, geʔa ngetʔa ra thuhu ra ʃoʃot͡sotla, ha ri ngepu bɾi thoka ra mabagi ra t͡ʃimalpopot͡sa nuna mɾa tʔɨ ra t͡sʔɛjʔɛhmu.
276	otla	Popotla	Ham'u xki tso̠hni nuni Popotla bi hyats'i, bi t'axka mahets'i, ya xki ntse̠t'i yabu̠ mi ja ya mabagi.	jam'u xki tso̱jni nuni popotla bi jyats'i, bi t'axka majets'i, ya xki ntse̱t'i yabu̱ mi ja ya mabagi.	ham'u xki tso̱hni nuni popotla bi hyats'i, bi t'axka mahets'i, ya xki ntse̱t'i yabu̱ mi ja ya mabagi.	ham'u xki tso̱hni nuni popotla bi hyats'i, bi t'axka mahets'i, ya xki ntse̱t'i yabu̱ mi ja ya mabagi.	hamʔu ški cɔhni nuni popotla bi hyacʔi, bi tʔaška mahecʔi, ya ški ncɛtʔi yabɨ mi kha ya mabagi.	hamʔu ʃki t͡sɔhni nuni popotla bi hjat͡sʔi, bi tʔaʃka mahet͡sʔi, ja ʃki nt͡sɛtʔi jabɨ mi kha ja mabagi.
277	huat	Quetzalcohuatl.	To̱m'ihu̱ ge mont'a gi handihu̱ ra m'e̱i Ajuä da ra'ihu̱ nu'a ra ajuä ra Quetzalcohuatl.	to̱m'iju̱ ge mont'a gi jandiju̱ ra m'e̱i ajuä da ra'iju̱ nu'a ra ajuä ra quetzaltsojuatl.	to̱m'ihu̱ ge mont'a gi handihu̱ ra m'e̱i ajuä da ra'ihu̱ nu'a ra ajuä ra quetzaltsohuatl.	to̱m'ihu̱ ge mont'a gi handihu̱ ra m'e̱i ajuä da ra'ihu̱ nu'a ra ajuä ra quetzaltsohuatl.	tɔmʔihɨ ge montʔa gi handihɨ ra mʔɛi akhuᶏ da raʔihɨ nuʔa ra akhuᶏ ra quetzalcohuatl.	tɔmʔihɨ ge montʔa gi handihɨ ra mʔɛi akhuã da raʔihɨ nuʔa ra akhuã ra quetzalt͡sohuatl.
278	huat	nhuat'i	Gue dá nhuat'i mbo ja ra ximhai,	gue dá njuat'i mbo ja ra ximjai,	gue dá nhuat'i mbo ja ra ximhai,	gue dá nhuat'i mbo ja ra ximhai,	gue dá nhuatʔi mbo kha ra šimhai,	gue dá nhuatʔi mbo kha ra ʃimhai,
279	huat	Quetzalcohuatl,	Mi pe̱tsuabi ndunthi ra hñuxmahño ya mecholula dige'a ra po̱taajuä ra Quetzalcohuatl,	mi pe̱tsuabi nduntji ra jñuxmajño ya mecholula dige'a ra po̱taajuä ra quetzaltsojuatl,	mi pe̱tsuabi ndunthi ra hñuxmahño ya mecholula dige'a ra po̱taajuä ra quetzaltsohuatl,	mi pe̱tsuabi ndunthi ra hñuxmahño ya metxolula dige'a ra po̱taajuä ra quetzaltsohuatl,	mi pɛcuabi ndunthi ra hñušmahño ya mečolula digeʔa ra pɔtaakhuᶏ ra quetzalcohuatl,	mi pɛt͡suabi ndunthi ra hɲuʃmahɲo ja met͡ʃolula digeʔa ra pɔtaakhuã ra quetzalt͡sohuatl,
280	huat	Quetzalcohuatl,	Mi hmä, mi b'e̱t'o ya noya nuya y'onga noya ra Quetzalcohuatl, gatho nuya thogi mi hmä pa da fädi.	mi jmä, mi b'e̱t'o ya noya nuya y'onga noya ra quetzaltsojuatl, gatjo nuya tjogi mi jmä pa da fädi.	mi hmä, mi b'e̱t'o ya noya nuya y'onga noya ra quetzaltsohuatl, gatho nuya thogi mi hmä pa da fädi.	mi hmä, mi b'e̱t'o ya noya nuya y'onga noya ra quetzaltsohuatl, gatho nuya thogi mi hmä pa da fädi.	mi hmᶏ, mi bʔɛtʔo ya noya nuya yʔonga noya ra quetzalcohuatl, gatho nuya thogi mi hmᶏ pa da phᶏdi.	mi hmã, mi bʔɛtʔo ja noja nuja jʔonga noja ra quetzalt͡sohuatl, gatho nuja thogi mi hmã pa da ɸãdi.
281	huat	Quetzalcohuatl,	r'a ya jä'i mi tagi se̱he̱ mi b'e̱t'o ra ñäxu, mi fe̱m'a ra ngo̱k'ei, honse̱he̱ mi e̱nts'a n'a ra saki digepu̱ ra ku ra Quetzalcohuatl,	r'a ya jä'i mi tagi se̱je̱ mi b'e̱t'o ra ñäxu, mi fe̱m'a ra ngo̱k'ei, jonse̱je̱ mi e̱nts'a n'a ra saki digepu̱ ra ku ra quetzaltsojuatl,	r'a ya jä'i mi tagi se̱he̱ mi b'e̱t'o ra ñäxu, mi fe̱m'a ra ngo̱k'ei, honse̱he̱ mi e̱nts'a n'a ra saki digepu̱ ra ku ra quetzaltsohuatl,	r'a ya jä'i mi tagi se̱he̱ mi b'e̱t'o ra ñäxu, mi fe̱m'a ra ngo̱k'ei, honse̱he̱ mi e̱nts'a n'a ra saki digepu̱ ra ku ra quetzaltsohuatl,	rʔa ya khᶏʔi mi tagi sɛhɛ mi bʔɛtʔo ra ñᶏšu, mi phɛmʔa ra ngɔkʔei, honsɛhɛ mi ɛncʔa nʔa ra saki digepɨ ra ku ra quetzalcohuatl,	rʔa ja khãʔi mi tagi sɛhɛ mi bʔɛtʔo ra ɲãʃu, mi ɸɛmʔa ra ngɔkʔei, honsɛhɛ mi ɛnt͡sʔa nʔa ra saki digepɨ ra ku ra quetzalt͡sohuatl,
282	huat	Quetzalcohuatl	mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra Quetzalcohuatl b'u̱i nuua ko ngekagihu̱,	mi mä dega ts'e̱dira jñä tso̱pu da ts'o̱jo̱bu nuya nzo̱jo̱jä'i ga jandiju̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra quetzaltsojuatl b'u̱i nuua ko ngekagiju̱,	mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra quetzaltsohuatl b'u̱i nuua ko ngekagihu̱,	mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra quetzaltsohuatl b'u̱i nuua ko ngekagihu̱,	mi mᶏ dega cʔɛdira hñᶏ cɔpu da cʔɔhɔbu nuya nzɔhɔkhᶏʔi ga handihɨ te ma cʔɛdi pɛci, ra ngeʔa ma akhuᶏ ra quetzalcohuatl bʔɨi nuua ko ngekagihɨ,	mi mã dega t͡sʔɛdiɾa hɲã t͡sɔpu da t͡sʔɔhɔbu nuja nzɔhɔkhãʔi ga handihɨ te ma t͡sʔɛdi pɛt͡si, ra ngeʔa ma akhuã ra quetzalt͡sohuatl bʔɨi nuua ko ngekagihɨ,
283	huat	hueyzáhuatl,	Ra mu̱di ñ'o̱te xa nts'o bi nja mont'a. Bi nja n'a ra hñeni bi fo̱ts'e r'a ya xoxi ya jä'i ebu̱ bi nets'e mar'a bi nteste gatho, n'a ra jä'i mra thuhu ra hueyzáhuatl, o ra hueycocoliztli,	ra mu̱di ñ'o̱te xa nts'o bi nja mont'a. bi nja n'a ra jñeni bi fo̱ts'e r'a ya xoxi ya jä'i ebu̱ bi nets'e mar'a bi nteste gatjo, n'a ra jä'i mra tjuju ra jueyzájuatl, o ra jueytsotsoliztli,	ra mu̱di ñ'o̱te xa nts'o bi nja mont'a. bi nja n'a ra hñeni bi fo̱ts'e r'a ya xoxi ya jä'i ebu̱ bi nets'e mar'a bi nteste gatho, n'a ra jä'i mra thuhu ra hueyzáhuatl, o ra hueytsotsoliztli,	ra mu̱di ñ'o̱te xa nts'o bi nja mont'a. bi nja n'a ra hñeni bi fo̱ts'e r'a ya xoxi ya jä'i ebu̱ bi nets'e mar'a bi nteste gatho, n'a ra jä'i mra thuhu ra hueyzáhuatl, o ra hueytsotsoliztli,	ra mɨdi ñʔɔte ša ncʔo bi nkha montʔa. bi nkha nʔa ra hñeni bi phɔcʔe rʔa ya šoši ya khᶏʔi ebɨ bi necʔe marʔa bi nteste gatho, nʔa ra khᶏʔi mra thuhu ra hueyzáhuatl, o ra hueycocoliztli,	ra mɨdi ɲʔɔte ʃa nt͡sʔo bi nkha montʔa. bi nkha nʔa ra hɲeni bi ɸɔt͡sʔe rʔa ja ʃoʃi ja khãʔi ebɨ bi net͡sʔe maɾʔa bi nteste gatho, nʔa ra khãʔi mɾa thuhu ra huejzáhuatl, o ra huejt͡sot͡soliztli,
284	huat	Quetzalcohuatl	mi mä te xki tähäbi nuya jä'i ne hanja xki b'e̱di ne hanja bi du ndunthi ma r'a, xki juadi gatho nuna ts'ogañ'u̱ bi t'o̱t'e ha nuna xe̱ni ra pa, nehe nu'a ra po̱taajuä ra Quetzalcohuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'othogi bi t'o̱t'e	mi mä te xki täjäbi nuya jä'i ne janja xki b'e̱di ne janja bi du nduntji ma r'a, xki juadi gatjo nuna ts'ogañ'u̱ bi t'o̱t'e ja nuna xe̱ni ra pa, neje nu'a ra po̱taajuä ra quetzaltsojuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'otjogi bi t'o̱t'e	mi mä te xki tähäbi nuya jä'i ne hanja xki b'e̱di ne hanja bi du ndunthi ma r'a, xki juadi gatho nuna ts'ogañ'u̱ bi t'o̱t'e ha nuna xe̱ni ra pa, nehe nu'a ra po̱taajuä ra quetzaltsohuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'othogi bi t'o̱t'e	mi mä te xki tähäbi nuya jä'i ne hanja xki b'e̱di ne hanja bi du ndunthi ma r'a, xki juadi gatho nuna ts'ogañ'u̱ bi t'o̱t'e ha nuna xe̱ni ra pa, nehe nu'a ra po̱taajuä ra quetzaltsohuatl inte bi mfaste ne inte bi o̱t'e pa da ñäni nuna ts'othogi bi t'o̱t'e	mi mᶏ te ški tᶏhᶏbi nuya khᶏʔi ne hankha ški bʔɛdi ne hankha bi du ndunthi ma rʔa, ški khuadi gatho nuna cʔogañʔɨ bi tʔɔtʔe ha nuna šɛni ra pa, nehe nuʔa ra pɔtaakhuᶏ ra quetzalcohuatl inte bi mphaste ne inte bi ɔtʔe pa da ñᶏni nuna cʔothogi bi tʔɔtʔe	mi mã te ʃki tãhãbi nuja khãʔi ne hankha ʃki bʔɛdi ne hankha bi du ndunthi ma rʔa, ʃki khuadi gatho nuna t͡sʔogaɲʔɨ bi tʔɔtʔe ha nuna ʃɛni ra pa, nehe nuʔa ra pɔtaakhuã ra quetzalt͡sohuatl inte bi mɸaste ne inte bi ɔtʔe pa da ɲãni nuna t͡sʔothogi bi tʔɔtʔe
285	huat	náhuatl	R'atsa noya ra Sahagún: Ndäxjua k'oi Florentino. He̱m'i xiii, xe̱ni xiii (versión del náhuatl por Ángel Ma. Garibay K.).	r'atsa noya ra sajagún: ndäxjua k'oi florentino. je̱m'i xiii, xe̱ni xiii (versión del nájuatl por ángel ma. garibay k.).	r'atsa noya ra sahagún: ndäxjua k'oi florentino. he̱m'i xiii, xe̱ni xiii (versión del náhuatl por ángel ma. garibay k.).	r'atsa noya ra sahagún: ndäxjua k'oi florentino. he̱m'i xiii, xe̱ni xiii (versión del náhuatl por ángel ma. garibay k.).	rʔaca noya ra sahagún: ndᶏškhua kʔoi phlorentino. hɛmʔi šiii, šɛni šiii (versión del náhuatl por ángel ma. garibay k.).	rʔat͡sa noja ra sahagún: ndãʃkhua kʔoi ɸloɾentino. hɛmʔi ʃiii, ʃɛni ʃiii (veɾsión del náhuatl poɾ ángel ma. gaɾibaj k.).
286	huat	(Mamalhuatztli)!	da fo̱tabi ya jä'i, ge nuna ra k'ehña ga tsibi (Xiuhcóatl), hyoka otsi ra tsibi (Mamalhuatztli)!	da fo̱tabi ya jä'i, ge nuna ra k'ejña ga tsibi (xiujtsóatl), jyoka otsi ra tsibi (mamaljuatztli)!	da fo̱tabi ya jä'i, ge nuna ra k'ehña ga tsibi (xiuhtsóatl), hyoka otsi ra tsibi (mamalhuatztli)!	da fo̱tabi ya jä'i, ge nuna ra k'ehña ga tsibi (xiuhtsóatl), hyoka otsi ra tsibi (mamalhuatztli)!	da phɔtabi ya khᶏʔi, ge nuna ra kʔehña ga cibi (šiuhcóatl), hyoka oci ra cibi (mamalhuatztli)!	da ɸɔtabi ja khãʔi, ge nuna ra kʔehɲa ga t͡sibi (ʃiuht͡sóatl), hjoka ot͡si ra t͡sibi (mamalhuatztli)!
287	huat	náhuatl:	Versión en náhuatl: Miguel León-Portilla (véase bibliografía).	versión en nájuatl: miguel león-portilla (véase bibliografía).	versión en náhuatl: miguel león-portilla (véase bibliografía).	versión en náhuatl: miguel león-portilla (véase bibliografía).	versión en náhuatl: miguel león-portilla (véase bibliographía).	veɾsión en náhuatl: miguel león-poɾtilla (véase bibliogɾaɸía).
288	huat	náhuatl	Nuna nt'ofo ra ndeznä ne nuna he̱m'i ne ma n'a bi hoka n'a ra nt'ofo ra Miguel León-Portilla. Los manifiestos en náhuatl de Emiliano Zapata, México, UNAM-IIIH, 1978.	nuna nt'ofo ra ndeznä ne nuna je̱m'i ne ma n'a bi joka n'a ra nt'ofo ra miguel león-portilla. los manifiestos en nájuatl de emiliano zapata, méxitso, unam-iiij, 1978.	nuna nt'ofo ra ndeznä ne nuna he̱m'i ne ma n'a bi hoka n'a ra nt'ofo ra miguel león-portilla. los manifiestos en náhuatl de emiliano zapata, méxitso, unam-iiih, 1978.	nuna nt'ofo ra ndeznä ne nuna he̱m'i ne ma n'a bi hoka n'a ra nt'ofo ra miguel león-portilla. los manifiestos en náhuatl de emiliano zapata, méxitso, unam-iiih, 1978.	nuna ntʔopho ra ndeznᶏ ne nuna hɛmʔi ne ma nʔa bi hoka nʔa ra ntʔopho ra miguel león-portilla. los maniphiestos en náhuatl de emiliano zapata, méšico, unam-iiih, 1978.	nuna ntʔoɸo ra ndeznã ne nuna hɛmʔi ne ma nʔa bi hoka nʔa ra ntʔoɸo ra miguel león-poɾtilla. los maniɸiestos en náhuatl de emiliano zapata, méʃit͡so, unam-iiih, 1978.
289	huat	huati	Xki nku̱t'i nu'a ra hnini mra t'u̱ki ra thuhu ra Cholula, b'estho bi t'o̱t'a ya nthodu, bri tho ya jä'i mi b'u̱i nubu̱, ha n'a ze̱ki ra pa bi huati gatho nu'a na tu̱ki bi ja nu'a ra hnini.	xki nku̱t'i nu'a ra jnini mra t'u̱ki ra tjuju ra cholula, b'estjo bi t'o̱t'a ya ntjodu, bri tjo ya jä'i mi b'u̱i nubu̱, ja n'a ze̱ki ra pa bi juati gatjo nu'a na tu̱ki bi ja nu'a ra jnini.	xki nku̱t'i nu'a ra hnini mra t'u̱ki ra thuhu ra cholula, b'estho bi t'o̱t'a ya nthodu, bri tho ya jä'i mi b'u̱i nubu̱, ha n'a ze̱ki ra pa bi huati gatho nu'a na tu̱ki bi ja nu'a ra hnini.	xki nku̱t'i nu'a ra hnini mra t'u̱ki ra thuhu ra txolula, b'estho bi t'o̱t'a ya nthodu, bri tho ya jä'i mi b'u̱i nubu̱, ha n'a ze̱ki ra pa bi huati gatho nu'a na tu̱ki bi ja nu'a ra hnini.	ški nkɨtʔi nuʔa ra hnini mra tʔɨki ra thuhu ra čolula, bʔestho bi tʔɔtʔa ya nthodu, bri tho ya khᶏʔi mi bʔɨi nubɨ, ha nʔa zɛki ra pa bi huati gatho nuʔa na tɨki bi kha nuʔa ra hnini.	ʃki nkɨtʔi nuʔa ra hnini mɾa tʔɨki ra thuhu ra t͡ʃolula, bʔestho bi tʔɔtʔa ja nthodu, bɾi tho ja khãʔi mi bʔɨi nubɨ, ha nʔa zɛki ra pa bi huati gatho nuʔa na tɨki bi kha nuʔa ra hnini.
290	tlal	Citlaltépec.	Ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱  ra thuhu ra Citlaltépec. Tlacopan, Nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.	ebu̱ ba eje man'aki ba te̱nga ra t'o̱jo̱ ra tjuju ra tsitlaltépets. tlatsopan, nubia ba o̱t'ra b'u̱i ja ra ndo̱m'ijmu.	ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra tsitlaltépets. tlatsopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.	ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra tsitlaltépets. tlatsopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.	ebɨ ba ehe manʔaki ba tɛnga ra tʔɔhɔ ra thuhu ra citlaltépec. tlacopan, nubia ba ɔtʔra bʔɨi ha ra ndɔmʔihmu.	ebɨ ba ehe manʔaki ba tɛnga ra tʔɔhɔ ra thuhu ra t͡sitlaltépet͡s. tlat͡sopan, nubia ba ɔtʔɾa bʔɨi ha ra ndɔmʔihmu.
291	tlal	Petlalcálcatl	Ra nda b'e̱tri Petlalcálcatl bi yopa mengi da ambabi man'aki nuya bädi,	ra nda b'e̱tri petlaltsáltsatl bi yopa mengi da ambabi man'aki nuya bädi,	ra nda b'e̱tri petlaltsáltsatl bi yopa mengi da ambabi man'aki nuya bädi,	ra nda b'e̱tri petlaltsáltsatl bi yopa mengi da ambabi man'aki nuya bädi,	ra nda bʔɛtri petlalcálcatl bi yopa mengi da ambabi manʔaki nuya bᶏdi,	ra nda bʔɛtɾi petlalt͡sált͡satl bi jopa mengi da ambabi manʔaki nuja bãdi,
292	tlal	Matlalcueye	Nehe mi nthandi n'a ra ñ'udi ngu mra n'a xe̱di dega fonthai mi y´o mi mpani mi nthe̱ui n´a ra manza ge mi fu̱di ha ya tu̱nga t'o̱ho̱ mra thuhu Matlalcueye ge ya t´o̱ho̱ mra hyodi nuni Tlaxcala,	neje mi ntjandi n'a ra ñ'udi ngu mra n'a xe̱di dega fontjai mi y´o mi mpani mi ntje̱ui n´a ra manza ge mi fu̱di ja ya tu̱nga t'o̱jo̱ mra tjuju matlaltsueye ge ya t´o̱jo̱ mra jyodi nuni tlaxtsala,	nehe mi nthandi n'a ra ñ'udi ngu mra n'a xe̱di dega fonthai mi y´o mi mpani mi nthe̱ui n´a ra manza ge mi fu̱di ha ya tu̱nga t'o̱ho̱ mra thuhu matlaltsueye ge ya t´o̱ho̱ mra hyodi nuni tlaxtsala,	nehe mi nthandi n'a ra ñ'udi ngu mra n'a xe̱di dega fonthai mi y´o mi mpani mi nthe̱ui n´a ra manza ge mi fu̱di ha ya tu̱nga t'o̱ho̱ mra thuhu matlaltsueye ge ya t´o̱ho̱ mra hyodi nuni tlaxtsala,	nehe mi nthandi nʔa ra ñʔudi ngu mra nʔa šɛdi dega phonthai mi y´o mi mpani mi nthɛui n´a ra manza ge mi phɨdi ha ya tɨnga tʔɔhɔ mra thuhu matlalcueye ge ya t´ɔhɔ mra hyodi nuni tlašcala,	nehe mi nthandi nʔa ra ɲʔudi ngu mɾa nʔa ʃɛdi dega ɸonthai mi j´o mi mpani mi nthɛui n´a ra manza ge mi ɸɨdi ha ja tɨnga tʔɔhɔ mɾa thuhu matlalt͡sueje ge ja t´ɔhɔ mɾa hjodi nuni tlaʃt͡sala,
293	tlal	Citlaltepec,	Ebu̱  bi ma ra Citlaltepec, di gep'u̱ ba b'u̱ibu̱  Temazcalapan.	ebu̱ bi ma ra tsitlaltepets, di gep'u̱ ba b'u̱ibu̱ temaztsalapan.	ebu̱ bi ma ra tsitlaltepets, di gep'u̱ ba b'u̱ibu̱ temaztsalapan.	ebu̱ bi ma ra tsitlaltepets, di gep'u̱ ba b'u̱ibu̱ temaztsalapan.	ebɨ bi ma ra citlaltepec, di gepʔɨ ba bʔɨibɨ temazcalapan.	ebɨ bi ma ra t͡sitlaltepet͡s, di gepʔɨ ba bʔɨibɨ temazt͡salapan.
294	tlal	Petlalcátl	Ra Ts'e̱y'e̱hmu bi b'e̱pa ra Petlalcátl	ra ts'e̱y'e̱jmu bi b'e̱pa ra petlaltsátl	ra ts'e̱y'e̱hmu bi b'e̱pa ra petlaltsátl	ra ts'e̱y'e̱hmu bi b'e̱pa ra petlaltsátl	ra cʔɛyʔɛhmu bi bʔɛpa ra petlalcátl	ra t͡sʔɛjʔɛhmu bi bʔɛpa ra petlalt͡sátl
295	tlal	Petlalcácatl	Ra Petlalcácatl bi mengi mont'a da xipabi ra Ts'e̱y'e̱hmu:	ra petlaltsátsatl bi mengi mont'a da xipabi ra ts'e̱y'e̱jmu:	ra petlaltsátsatl bi mengi mont'a da xipabi ra ts'e̱y'e̱hmu:	ra petlaltsátsatl bi mengi mont'a da xipabi ra ts'e̱y'e̱hmu:	ra petlalcácatl bi mengi montʔa da šipabi ra cʔɛyʔɛhmu:	ra petlalt͡sát͡satl bi mengi montʔa da ʃipabi ra t͡sʔɛjʔɛhmu:
296	huit	huiti	Inte ma nxo̱ni mi pe̱tsi, inbi nxaxni. Bi japi da gant'i n'a ra b'ixfani, bi huiti n'a ra pist'a mpe̱fi ga b'ida. Mi hu̱st'i ya thu̱za ne ya chirimía ne ya fixkodo.	inte ma nxo̱ni mi pe̱tsi, inbi nxaxni. bi japi da gant'i n'a ra b'ixfani, bi juiti n'a ra pist'a mpe̱fi ga b'ida. mi ju̱st'i ya tju̱za ne ya chirimía ne ya fixkodo.	inte ma nxo̱ni mi pe̱tsi, inbi nxaxni. bi japi da gant'i n'a ra b'ixfani, bi huiti n'a ra pist'a mpe̱fi ga b'ida. mi hu̱st'i ya thu̱za ne ya chirimía ne ya fixkodo.	inte ma nxo̱ni mi pe̱tsi, inbi nxaxni. bi japi da gant'i n'a ra b'ixfani, bi huiti n'a ra pist'a mpe̱fi ga b'ida. mi hu̱st'i ya thu̱za ne ya txirimía ne ya fixkodo.	inte ma nšɔni mi pɛci, inbi nšašni. bi khapi da gantʔi nʔa ra bʔišphani, bi huiti nʔa ra pistʔa mpɛphi ga bʔida. mi hɨstʔi ya thɨza ne ya čirimía ne ya phiškodo.	inte ma nʃɔni mi pɛt͡si, inbi nʃaʃni. bi khapi da gantʔi nʔa ra bʔiʃɸani, bi huiti nʔa ra pistʔa mpɛɸi ga bʔida. mi hɨstʔi ja thɨza ne ja t͡ʃiɾimía ne ja ɸiʃkodo.
